x,y,id
-124.71,24.56,NA
-124.41,24.56,NA
-124.11,24.56,NA
-123.81,24.56,NA
-123.51,24.56,NA
-123.21,24.56,NA
-122.91,24.56,NA
-122.61,24.56,NA
-122.31,24.56,NA
-122.01,24.56,NA
-121.71,24.56,NA
-121.41,24.56,NA
-121.11,24.56,NA
-120.81,24.56,NA
-120.51,24.56,NA
-120.21,24.56,NA
-119.91,24.56,NA
-119.61,24.56,NA
-119.31,24.56,NA
-119.01,24.56,NA
-118.71,24.56,NA
-118.41,24.56,NA
-118.11,24.56,NA
-117.81,24.56,NA
-117.51,24.56,NA
-117.21,24.56,NA
-116.91,24.56,NA
-116.61,24.56,NA
-116.31,24.56,NA
-116.01,24.56,NA
-115.71,24.56,NA
-115.41,24.56,NA
-115.11,24.56,NA
-114.81,24.56,NA
-114.51,24.56,NA
-114.21,24.56,NA
-113.91,24.56,NA
-113.61,24.56,NA
-113.31,24.56,NA
-113.01,24.56,NA
-112.71,24.56,NA
-112.41,24.56,NA
-112.11,24.56,18655
-111.81,24.56,18655
-111.51,24.56,18656
-111.21,24.56,18657
-110.91,24.56,18658
-110.61,24.56,18658
-110.31,24.56,NA
-110.01,24.56,NA
-109.71,24.56,NA
-109.41,24.56,NA
-109.11,24.56,NA
-108.81,24.56,NA
-108.51,24.56,NA
-108.21,24.56,NA
-107.91,24.56,18669
-107.61,24.56,18669
-107.31,24.56,18670
-107.01,24.56,18671
-106.71,24.56,18672
-106.41,24.56,18674
-106.11,24.56,18675
-105.81,24.56,18676
-105.51,24.56,18677
-105.21,24.56,18678
-104.91,24.56,18679
-104.61,24.56,18680
-104.31,24.56,18681
-104.01,24.56,18682
-103.71,24.56,18683
-103.41,24.56,18684
-103.11,24.56,18685
-102.81,24.56,18686
-102.51,24.56,18687
-102.21,24.56,18688
-101.91,24.56,18689
-101.61,24.56,18690
-101.31,24.56,18691
-101.01,24.56,19041
-100.71,24.56,19042
-100.41,24.56,19043
-100.11,24.56,19044
-99.81,24.56,19045
-99.51,24.56,19046
-99.21,24.56,19047
-98.91,24.56,19048
-98.61,24.56,19049
-98.31,24.56,19050
-98.01,24.56,19400
-97.71,24.56,19401
-97.41,24.56,19401
-97.11,24.56,NA
-96.81,24.56,NA
-96.51,24.56,NA
-96.21,24.56,NA
-95.91,24.56,NA
-95.61,24.56,NA
-95.31,24.56,NA
-95.01,24.56,NA
-94.71,24.56,NA
-94.41,24.56,NA
-94.11,24.56,NA
-93.81,24.56,NA
-93.51,24.56,NA
-93.21,24.56,NA
-92.91,24.56,NA
-92.61,24.56,NA
-92.31,24.56,NA
-92.01,24.56,NA
-91.71,24.56,NA
-91.41,24.56,NA
-91.11,24.56,NA
-90.81,24.56,NA
-90.51,24.56,NA
-90.21,24.56,NA
-89.91,24.56,NA
-89.61,24.56,NA
-89.31,24.56,NA
-89.01,24.56,NA
-88.71,24.56,NA
-88.41,24.56,NA
-88.11,24.56,NA
-87.81,24.56,NA
-87.51,24.56,NA
-87.21,24.56,NA
-86.91,24.56,NA
-86.61,24.56,NA
-86.31,24.56,NA
-86.01,24.56,NA
-85.71,24.56,NA
-85.41,24.56,NA
-85.11,24.56,NA
