"radar_id","PDM","se","radar_id","alpha","se"
"KABR",163.5188877714,1.04378318196433,"KABR",0.253043716024035,0.0318993854633267
"KABX",181.347306117538,0.991169760379634,"KABX",0.630649276860307,0.0307244027273198
"KAKQ",195.52553203661,1.1180480938083,"KAKQ",0.417208233239334,0.0337795601837007
"KAMA",190.939142203888,1.05571095810555,"KAMA",0.640084979888264,0.0321721461939381
"KAMX",170.781071055764,1.09449179299021,"KAMX",0.675011450384227,0.0340926442417743
"KAPX",186.19332205352,1.10137650847679,"KAPX",0.442312501115598,0.033468893557596
"KARX",165.792523895623,1.04917850119395,"KARX",0.267034611006437,0.0315362210144109
"KATX",157.463269588716,1.01635617442701,"KATX",0.0161017288063316,0.0351287310209656
"KBBX",155.413437149323,1.1576182147476,"KBBX",0.323602912506633,0.0369866200687638
"KBGM",203.890155562882,1.07124476844666,"KBGM",0.494283610299617,0.0323780125103737
"KBHX",189.587107424417,1.39778332151892,"KBHX",0.190481639512395,0.0454734812832038
"KBIS",154.658291583736,1.00797088993462,"KBIS",0.191452262426685,0.0305767917515658
"KBLX",155.60220177265,1.1431820288869,"KBLX",0.221833318828167,0.0356977788222718
"KBMX",194.838186760195,1.16320555022271,"KBMX",0.280689506398112,0.0354348256343988
"KBOX",195.43782920153,1.43487461990651,"KBOX",0.208722493878709,0.0417513843423928
"KBRO",175.248970069283,0.975073102239702,"KBRO",0.417672806445929,0.0293420835752405
"KBUF",197.838360400635,1.15325954326114,"KBUF",0.539483412424292,0.0351833018715001
"KBYX",191.384028732227,1.70229350640667,"KBYX",0.410937399738397,0.0574551567500035
"KCAE",203.009297968695,1.09324577198903,"KCAE",0.420770843418697,0.0332029958618102
"KCBW",205.733504854838,1.19918469317068,"KCBW",0.353658656448135,0.0362298518952292
"KCBX",164.218384176162,0.98840617862173,"KCBX",0.168355170026389,0.0304798514275756
"KCCX",199.371949704058,1.16469821038395,"KCCX",0.481664692758302,0.0354893922133109
"KCLE",195.986446297829,1.18673903375256,"KCLE",0.465431857793158,0.0362645220723436
"KCLX",203.233710258394,1.05665563813863,"KCLX",0.441405269249269,0.032219940426553
"KCRP",203.014380699483,0.956755223116699,"KCRP",0.349196879084973,0.028633831935438
"KCXX",204.259280195012,1.17032607801657,"KCXX",0.480608349052818,0.0352890387401432
"KCYS",158.982768825124,1.08462847062933,"KCYS",0.245816833382048,0.0339528599638668
"KDAX",158.264501723498,1.41402412126896,"KDAX",0.323864590323743,0.0451837748664557
"KDDC",186.474688997945,1.16526708061027,"KDDC",0.37057266746251,0.0363184768816485
"KDFX",189.937335703412,1.27378110249396,"KDFX",0.560141354805495,0.038541917874645
"KDGX",197.893169991622,1.1884101138228,"KDGX",0.401517238689446,0.0365479280269407
"KDIX",208.814005150676,1.06414580401492,"KDIX",0.438672402470584,0.0319261104212832
"KDLH",174.014807477474,1.08074799136185,"KDLH",0.357705299244156,0.0324267641519582
"KDMX",176.869857980772,1.02171199529917,"KDMX",0.350406151291742,0.0307293558374231
"KDOX",208.133325260368,1.31821696365929,"KDOX",0.374123350608536,0.0402449325380767
"KDTX",181.764690523845,1.1398807475118,"KDTX",0.23544641903618,0.0347695680773457
